    X           Y            F606W      F814W
   5537.9200   4135.8700     26.2953     23.3682
   6112.5900   4135.7000     24.7151     21.8541
   6490.2300   4136.1100     24.2391     20.9079
   6564.1500   4136.4100     25.8196     22.9082
   5254.3300   4137.3900     25.6078     22.6175
   5461.9800   4136.9300     25.3075     22.2497
   5472.4500   4137.2300     24.5516     21.5720
   7304.9700   4137.0800     24.1893     21.3594
   7236.2800   4137.9800     25.1783     22.4334
   7259.4300   4137.5900     26.3587     23.4251
   3298.9900   4139.1800     25.2137     22.2952
   4491.4900   4139.0000     25.0351     21.8308
   4678.3300   4139.1000     26.8262     23.9441
   5576.2900   4139.0800     23.0541     20.0157
   5966.5800   4139.4100     24.4981     21.7116
   6592.8300   4138.5300     26.1507     23.2120
   6668.8100   4138.7500     25.7528     22.8965
   6524.8900   4140.3300     25.2280     22.2083
   6309.3200   4140.4900     24.0849     21.1349
   6756.8400   4140.8100     32.6866     23.5413
   7400.0400   4140.5500     25.0388     22.1209
   7486.0000   4140.4900     24.9040     22.0665
   4451.6500   4142.4700     27.1080     23.7885
   5288.3900   4141.9400     32.6866     23.7042
   5702.0500   4142.0400     26.7225     23.3193
   5887.5500   4141.7600     26.3984     23.1224
   6158.4000   4142.0100     24.6792     21.8320
   5561.9800   4142.9900     24.9522     21.8635
   6022.8600   4143.3700     25.7824     22.6106
   6911.1900   4143.4700     23.6842     20.6649
   5342.1600   4144.1100     24.1259     20.9283
   5848.1800   4143.4900     24.6625     21.7307
   6116.5900   4144.0700     24.6301     21.7483
   4820.6500   4144.7700     26.5705     23.5184
   6775.0900   4145.1800     24.6522     21.7619
   6932.6700   4145.1000     24.9834     21.9741
   5206.7600   4146.3200     25.4062     22.4453
   6205.0600   4145.6300     25.5461     22.7443
   6837.8600   4145.6400     25.7982     22.9645
   7314.0700   4145.6000     26.9512     23.4873
   4795.1800   4146.5300     25.2570     22.3553
   4859.6800   4146.8600     32.6866     23.0989
   5330.7000   4147.4600     24.9902     22.1218
   6362.4800   4146.8500     25.9434     23.0641
   6515.4300   4146.5500     24.4260     21.4840
   3671.5000   4147.7400     25.4890     22.4477
   5420.9800   4147.5700     26.0777     23.0613
   6090.8400   4148.2700     25.8944     22.7235
